"id","code","name_kh","name_en","type","reference","deleted_at","created_at","updated_at"
"1","1","បន្ទាយមានជ័យ","Banteay Meanchey","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"2","2","បាត់ដំបង","Battambang","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"3","3","កំពង់ចាម","Kampong Cham","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"4","4","កំពង់ឆ្នាំង","Kampong Chhnang","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"5","5","កំពង់ស្ពឺ","Kampong Speu","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"6","6","កំពង់ធំ","Kampong Thom","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"7","7","កំពត","Kampot","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"8","8","កណ្ដាល","Kandal","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"9","9","កោះកុង","Koh Kong","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"10","10","ក្រចេះ","Kratie","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"11","11","មណ្ឌលគិរី","Mondul Kiri","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"12","12","រាជធានីភ្នំពេញ","Phnom Penh","Capital","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"13","13","ព្រះវិហារ","Preah Vihear","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"14","14","ព្រៃវែង","Prey Veng","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"15","15","ពោធិ៍សាត់","Pursat","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"16","16","រតនគិរី","Ratanak Kiri","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"17","17","សៀមរាប","Siemreap","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"18","18","ព្រះសីហនុ","Preah Sihanouk","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"19","19","ស្ទឹងត្រែង","Stung Treng","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"20","20","ស្វាយរៀង","Svay Rieng","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"21","21","តាកែវ","Takeo","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"22","22","ឧត្ដរមានជ័យ","Oddar Meanchey","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"23","23","កែប","Kep","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"24","24","ប៉ៃលិន","Pailin","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
"25","25","ត្បូងឃ្មុំ","Tboung Khmum","Province","","","2024-02-20 16:34:12","2024-02-20 16:34:12"
