"id","farmer_product_id","product_attribute_value_id","created_at","updated_at"
"3","2","5","2024-04-24 10:58:03","2024-04-24 10:58:03"
"4","2","2","2024-04-24 10:58:03","2024-04-24 10:58:03"
"5","3","4","2024-04-24 10:58:53","2024-04-24 10:58:53"
"6","3","2","2024-04-24 10:58:53","2024-04-24 10:58:53"
"9","5","4","2024-04-24 13:06:13","2024-04-24 13:06:13"
"10","5","1","2024-04-24 13:06:13","2024-04-24 13:06:13"
"11","6","5","2024-04-24 13:08:56","2024-04-24 13:08:56"
"12","6","1","2024-04-24 13:08:56","2024-04-24 13:08:56"
"13","7","6","2024-04-24 13:10:31","2024-04-24 13:10:31"
"14","7","1","2024-04-24 13:10:31","2024-04-24 13:10:31"
"15","8","7","2024-04-24 13:11:43","2024-04-24 13:11:43"
"16","8","1","2024-04-24 13:11:43","2024-04-24 13:11:43"
"17","9","8","2024-04-24 13:13:58","2024-04-24 13:13:58"
"18","9","1","2024-04-24 13:13:58","2024-04-24 13:13:58"
"19","10","4","2024-04-24 13:17:18","2024-04-24 13:17:18"
"20","10","2","2024-04-24 13:17:18","2024-04-24 13:17:18"
"21","11","5","2024-04-24 13:18:36","2024-04-24 13:18:36"
"22","11","2","2024-04-24 13:18:36","2024-04-24 13:18:36"
"23","12","6","2024-04-24 13:19:52","2024-04-24 13:19:52"
"24","12","2","2024-04-24 13:19:52","2024-04-24 13:19:52"
"25","13","7","2024-04-24 13:20:53","2024-04-24 13:20:53"
"26","13","2","2024-04-24 13:20:53","2024-04-24 13:20:53"
"27","14","8","2024-04-24 13:21:52","2024-04-24 13:21:52"
"28","14","2","2024-04-24 13:21:52","2024-04-24 13:21:52"
"29","15","4","2024-04-24 13:24:45","2024-04-24 13:24:45"
"30","15","3","2024-04-24 13:24:45","2024-04-24 13:24:45"
"31","16","5","2024-04-24 13:26:01","2024-04-24 13:26:01"
"32","16","3","2024-04-24 13:26:01","2024-04-24 13:26:01"
"33","17","6","2024-04-24 13:26:57","2024-04-24 13:26:57"
"34","17","3","2024-04-24 13:26:57","2024-04-24 13:26:57"
"35","18","7","2024-04-24 13:28:02","2024-04-24 13:28:02"
"36","18","3","2024-04-24 13:28:02","2024-04-24 13:28:02"
"37","19","8","2024-04-24 13:28:53","2024-04-24 13:28:53"
"38","19","3","2024-04-24 13:28:53","2024-04-24 13:28:53"
"39","20","4","2024-04-24 13:31:50","2024-04-24 13:31:50"
"40","20","1","2024-04-24 13:31:50","2024-04-24 13:31:50"
"41","21","5","2024-04-24 13:32:46","2024-04-24 13:32:46"
"42","21","1","2024-04-24 13:32:46","2024-04-24 13:32:46"
"43","22","6","2024-04-24 13:33:41","2024-04-24 13:33:41"
"44","22","1","2024-04-24 13:33:41","2024-04-24 13:33:41"
"45","23","7","2024-04-24 13:34:46","2024-04-24 13:34:46"
"46","23","1","2024-04-24 13:34:46","2024-04-24 13:34:46"
"47","24","8","2024-04-24 13:39:11","2024-04-24 13:39:11"
"48","24","1","2024-04-24 13:39:11","2024-04-24 13:39:11"
"49","25","4","2024-04-24 13:43:10","2024-04-24 13:43:10"
"50","25","2","2024-04-24 13:43:10","2024-04-24 13:43:10"
"51","26","5","2024-04-24 13:44:42","2024-04-24 13:44:42"
"52","26","2","2024-04-24 13:44:42","2024-04-24 13:44:42"
"53","27","6","2024-04-24 13:45:55","2024-04-24 13:45:55"
"54","27","2","2024-04-24 13:45:55","2024-04-24 13:45:55"
"55","28","7","2024-04-24 13:47:00","2024-04-24 13:47:00"
"56","28","2","2024-04-24 13:47:00","2024-04-24 13:47:00"
"57","29","8","2024-04-24 13:47:58","2024-04-24 13:47:58"
"58","29","2","2024-04-24 13:47:58","2024-04-24 13:47:58"
"59","30","4","2024-04-24 13:50:05","2024-04-24 13:50:05"
"60","30","3","2024-04-24 13:50:05","2024-04-24 13:50:05"
"61","31","5","2024-04-24 13:51:12","2024-04-24 13:51:12"
"62","31","3","2024-04-24 13:51:12","2024-04-24 13:51:12"
"63","32","6","2024-04-24 13:52:12","2024-04-24 13:52:12"
"64","32","3","2024-04-24 13:52:12","2024-04-24 13:52:12"
"65","33","7","2024-04-24 13:53:51","2024-04-24 13:53:51"
"66","33","3","2024-04-24 13:53:51","2024-04-24 13:53:51"
"67","34","8","2024-04-24 14:00:40","2024-04-24 14:00:40"
"68","34","3","2024-04-24 14:00:40","2024-04-24 14:00:40"
"69","35","4","2024-04-24 14:02:48","2024-04-24 14:02:48"
"70","35","1","2024-04-24 14:02:48","2024-04-24 14:02:48"
"71","36","5","2024-04-24 14:03:44","2024-04-24 14:03:44"
"72","36","1","2024-04-24 14:03:44","2024-04-24 14:03:44"
"73","37","6","2024-04-24 14:04:50","2024-04-24 14:04:50"
"74","37","1","2024-04-24 14:04:50","2024-04-24 14:04:50"
"75","38","7","2024-04-24 14:05:45","2024-04-24 14:05:45"
"76","38","1","2024-04-24 14:05:45","2024-04-24 14:05:45"
"77","39","8","2024-04-24 14:06:46","2024-04-24 14:06:46"
"78","39","1","2024-04-24 14:06:46","2024-04-24 14:06:46"
"79","40","4","2024-04-24 14:08:23","2024-04-24 14:08:23"
"80","40","2","2024-04-24 14:08:23","2024-04-24 14:08:23"
"81","41","5","2024-04-24 14:09:15","2024-04-24 14:09:15"
"82","41","2","2024-04-24 14:09:15","2024-04-24 14:09:15"
"83","42","6","2024-04-24 14:10:13","2024-04-24 14:10:13"
"84","42","2","2024-04-24 14:10:13","2024-04-24 14:10:13"
"85","43","7","2024-04-24 14:11:09","2024-04-24 14:11:09"
"86","43","2","2024-04-24 14:11:09","2024-04-24 14:11:09"
"87","44","8","2024-04-24 14:12:01","2024-04-24 14:12:01"
"88","44","2","2024-04-24 14:12:01","2024-04-24 14:12:01"
"89","45","4","2024-04-24 14:13:26","2024-04-24 14:13:26"
"90","45","3","2024-04-24 14:13:26","2024-04-24 14:13:26"
"91","46","5","2024-04-24 14:14:28","2024-04-24 14:14:28"
"92","46","3","2024-04-24 14:14:28","2024-04-24 14:14:28"
"93","47","6","2024-04-24 14:16:28","2024-04-24 14:16:28"
"94","47","3","2024-04-24 14:16:28","2024-04-24 14:16:28"
"95","48","7","2024-04-24 14:17:31","2024-04-24 14:17:31"
"96","48","3","2024-04-24 14:17:31","2024-04-24 14:17:31"
"97","49","8","2024-04-24 14:18:23","2024-04-24 14:18:23"
"98","49","3","2024-04-24 14:18:23","2024-04-24 14:18:23"
"99","50","4","2024-04-24 14:20:56","2024-04-24 14:20:56"
"100","50","1","2024-04-24 14:20:56","2024-04-24 14:20:56"
"101","51","5","2024-04-24 14:22:00","2024-04-24 14:22:00"
"102","51","1","2024-04-24 14:22:00","2024-04-24 14:22:00"
"103","52","6","2024-04-24 14:22:51","2024-04-24 14:22:51"
"104","52","1","2024-04-24 14:22:51","2024-04-24 14:22:51"
"105","53","7","2024-04-24 14:23:59","2024-04-24 14:23:59"
"106","53","1","2024-04-24 14:23:59","2024-04-24 14:23:59"
"107","54","8","2024-04-24 14:24:50","2024-04-24 14:24:50"
"108","54","1","2024-04-24 14:24:50","2024-04-24 14:24:50"
"109","55","4","2024-04-24 14:26:02","2024-04-24 14:26:02"
"110","55","2","2024-04-24 14:26:02","2024-04-24 14:26:02"
"111","56","5","2024-04-24 14:26:47","2024-04-24 14:26:47"
"112","56","2","2024-04-24 14:26:47","2024-04-24 14:26:47"
"113","57","6","2024-04-24 14:27:36","2024-04-24 14:27:36"
"114","57","2","2024-04-24 14:27:36","2024-04-24 14:27:36"
"115","58","7","2024-04-24 14:28:19","2024-04-24 14:28:19"
"116","58","2","2024-04-24 14:28:19","2024-04-24 14:28:19"
"117","59","8","2024-04-24 14:29:02","2024-04-24 14:29:02"
"118","59","2","2024-04-24 14:29:02","2024-04-24 14:29:02"
"119","60","4","2024-04-24 14:30:25","2024-04-24 14:30:25"
"120","60","3","2024-04-24 14:30:25","2024-04-24 14:30:25"
"121","61","5","2024-04-24 14:31:16","2024-04-24 14:31:16"
"122","61","3","2024-04-24 14:31:16","2024-04-24 14:31:16"
"123","62","6","2024-04-24 14:32:11","2024-04-24 14:32:11"
"124","62","3","2024-04-24 14:32:11","2024-04-24 14:32:11"
"125","63","7","2024-04-24 14:33:01","2024-04-24 14:33:01"
"126","63","3","2024-04-24 14:33:01","2024-04-24 14:33:01"
"127","64","8","2024-04-24 14:34:08","2024-04-24 14:34:08"
"128","64","3","2024-04-24 14:34:08","2024-04-24 14:34:08"
"129","65","4","2024-04-24 14:36:32","2024-04-24 14:36:32"
"130","65","1","2024-04-24 14:36:32","2024-04-24 14:36:32"
"133","67","5","2024-04-24 14:39:31","2024-04-24 14:39:31"
"134","67","1","2024-04-24 14:39:31","2024-04-24 14:39:31"
"135","68","6","2024-04-24 14:40:26","2024-04-24 14:40:26"
"136","68","1","2024-04-24 14:40:26","2024-04-24 14:40:26"
"137","69","7","2024-04-24 14:41:15","2024-04-24 14:41:15"
"138","69","1","2024-04-24 14:41:15","2024-04-24 14:41:15"
"139","70","8","2024-04-24 14:42:10","2024-04-24 14:42:10"
"140","70","1","2024-04-24 14:42:10","2024-04-24 14:42:10"
"141","71","4","2024-04-24 14:43:19","2024-04-24 14:43:19"
"142","71","2","2024-04-24 14:43:19","2024-04-24 14:43:19"
"143","72","5","2024-04-24 14:44:06","2024-04-24 14:44:06"
"144","72","2","2024-04-24 14:44:06","2024-04-24 14:44:06"
"145","73","6","2024-04-24 14:44:55","2024-04-24 14:44:55"
"146","73","2","2024-04-24 14:44:55","2024-04-24 14:44:55"
"147","74","7","2024-04-24 14:45:38","2024-04-24 14:45:38"
"148","74","2","2024-04-24 14:45:38","2024-04-24 14:45:38"
"149","75","8","2024-04-24 14:46:24","2024-04-24 14:46:24"
"150","75","2","2024-04-24 14:46:24","2024-04-24 14:46:24"
"151","76","4","2024-04-24 14:47:35","2024-04-24 14:47:35"
"152","76","3","2024-04-24 14:47:35","2024-04-24 14:47:35"
"153","77","5","2024-04-24 14:48:21","2024-04-24 14:48:21"
"154","77","3","2024-04-24 14:48:21","2024-04-24 14:48:21"
"155","78","6","2024-04-24 14:49:05","2024-04-24 14:49:05"
"156","78","3","2024-04-24 14:49:06","2024-04-24 14:49:06"
"157","79","7","2024-04-24 14:50:04","2024-04-24 14:50:04"
"158","79","3","2024-04-24 14:50:04","2024-04-24 14:50:04"
"159","80","8","2024-04-24 14:50:56","2024-04-24 14:50:56"
"160","80","3","2024-04-24 14:50:56","2024-04-24 14:50:56"
"163","82","4","2024-04-24 16:31:32","2024-04-24 16:31:32"
"164","82","1","2024-04-24 16:31:32","2024-04-24 16:31:32"
"167","1","4","2024-04-24 17:01:59","2024-04-24 17:01:59"
"168","1","3","2024-04-24 17:01:59","2024-04-24 17:01:59"
"169","4","4","2024-04-24 17:11:33","2024-04-24 17:11:33"
"170","4","2","2024-04-24 17:11:33","2024-04-24 17:11:33"
"173","83","4","2024-04-24 17:18:06","2024-04-24 17:18:06"
"174","83","1","2024-04-24 17:18:06","2024-04-24 17:18:06"
"179","84","5","2024-04-24 17:21:18","2024-04-24 17:21:18"
"180","84","2","2024-04-24 17:21:18","2024-04-24 17:21:18"
"183","85","5","2024-04-24 17:22:51","2024-04-24 17:22:51"
"184","85","1","2024-04-24 17:22:51","2024-04-24 17:22:51"
"187","81","8","2024-04-24 17:31:58","2024-04-24 17:31:58"
"188","81","3","2024-04-24 17:31:58","2024-04-24 17:31:58"
"189","86","4","2024-04-25 09:37:55","2024-04-25 09:37:55"
"190","86","1","2024-04-25 09:37:55","2024-04-25 09:37:55"
"191","87","5","2024-04-25 11:55:20","2024-04-25 11:55:20"
"192","87","1","2024-04-25 11:55:20","2024-04-25 11:55:20"
"193","88","4","2024-04-25 14:39:35","2024-04-25 14:39:35"
"194","88","1","2024-04-25 14:39:35","2024-04-25 14:39:35"
"195","89","4","2024-04-25 14:40:09","2024-04-25 14:40:09"
"196","89","1","2024-04-25 14:40:09","2024-04-25 14:40:09"
"199","91","4","2024-04-25 16:57:51","2024-04-25 16:57:51"
"200","91","2","2024-04-25 16:57:51","2024-04-25 16:57:51"
"201","92","4","2024-04-25 16:58:24","2024-04-25 16:58:24"
"202","92","3","2024-04-25 16:58:24","2024-04-25 16:58:24"
"209","90","6","2024-04-25 17:11:23","2024-04-25 17:11:23"
"210","90","1","2024-04-25 17:11:23","2024-04-25 17:11:23"
"217","93","7","2024-04-25 17:28:56","2024-04-25 17:28:56"
"218","93","1","2024-04-25 17:28:56","2024-04-25 17:28:56"
