"id","name","description","is_enable","created_at","updated_at","type","symbol"
"1","ហិកតា","10000 m^2",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","landSize",""
"2","អារ","100 m^2",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","landSize",""
"3","គីឡូម៉ែត្រការ៉េ","1000000 m^2",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","landSize",""
"4","ម៉ែត្រការ៉េ","m^2",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","landSize",""
"5","ផ្សេងៗ","Other",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","Other",""
"6","លីត្រ","Liter",0,"2024-04-23 22:33:05","2024-04-26 09:55:24","Fluid",""
"7","ផ្លូន","Item",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","Quantity",""
"8","ផ្លែ","item",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","Quantity",""
"9","ក្បាល","Quantity",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","Item",""
"10","តោន","1000 Kg",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","weight",""
"11","គីឡូ","Kg",1,"2024-04-23 22:33:05","2024-04-23 22:33:05","weight",""
