"id","supplier_attribute_id","name","created_at","updated_at"
"1","2","គីមី","2024-04-23 22:33:05","2024-04-23 22:33:05"
"2","2","សេរីរាង្គ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"3","3","ខ្មែរ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"4","3","ថៃ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"5","3","វាតណាម","2024-04-23 22:33:05","2024-04-23 22:33:05"
"6","4","គ្រាប់ពូជ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"7","4","ផ្កា","2024-04-23 22:33:05","2024-04-23 22:33:05"
"8","4","គ្រាប់ធុញ្ញជាតិ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"9","4","ដើម","2024-04-23 22:33:05","2024-04-23 22:33:05"
"10","5","1 សប្ដាហ៏","2024-04-23 22:33:05","2024-04-23 22:33:05"
"11","5","2 សប្ដាហ៏","2024-04-23 22:33:05","2024-04-23 22:33:05"
"12","5","3 សប្ដាហ៏","2024-04-23 22:33:05","2024-04-23 22:33:05"
